Ref. Publication date [year:mm:dd],Substrate,Electrode,TL1-front,TL2-front,TL3-front,,TL4-back,TL5-back,TL6-back,TL7-back,Electrode2,Cell. Area. Measured [cm^2],Cell. Architecture [nip/pin/ É],Module [TRUE/FALSE],Perovskite. Composition. A-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. B-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions [Ion.1; Ion.2; É | Ion.3; É | ...],Perovskite. Composition. C-ions. Coefficients [Cof.1; Cof.2; É | Cof.3; É | ...],Perovskite. Additives. Compounds [Addt.1; Addt.2; ... | Addt.3; É | Addt.4 | ... ],Perovskite. Band gap [Eg.1 | Eg.2 | ...] [eV],Perovskite. Deposition. Number of deposition steps,Perovskite. Deposition. Procedure [Proc. 1 >> Proc. 2 >> ... | Proc. 3 >> É | Proc. 4 | ... ],Perovskite. Deposition. Solvents [Sol.1; Sol.2 >> Sol.3; ... >> ... | Sol.4 >> É | Sol.5 | ... ],Perovskite. Deposition. Solvents. Mixing ratios [V1; V2 >> V3; V4 >> ... | V5; V6 >> É | 1 | ... ],Perovskite. Deposition. Quenching media [Sol.1; Sol.2; É],Encapsulation [TRUE/FALSE],Encapsulation. Stack sequence [Mat.1; Mat.2; ... | Mat.3; ... | Mat.4 | ...],Encapsulation. Edge sealing materials [Mat.1; Mat.2; ... ],JV. Reverse scan. PCE [%] ,JV. Forward scan. PCE [%] ,Stability. Measured [TRUE/FALSE],Stability. Protocol [ISOS x/IEC x/ É] ,Stability. Light source. Type [Dark/White LED/Metal halide/ ...],Stability. Light. UV filter [TRUE/FALSE],Stability. Potential bias. Load condition [Open circuit/MPPT/Constant potential/ É],Stability. Temperature. Range [T.min; T.max] or [T.constant] [deg. C],Stability. Atmosphere [Gas1; Gas2; ...],Stability. Relative humidity. Average value [%],Stability. Time. Total exposure [h],Stability. PCE. Burn in observed [TRUE/FALSE],Stability. PCE. End of experiment [% of initial PCE],Stability. PCE. T80 [h],Stability. PCE. Ts80 [h],Stability. PCE. After 1000 h [% of initial PCE]
2018-04-02,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,Undoped,1.64,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,14.8,12.2,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,20; 30,Air. Desiccator,50,4080,FALSE,60.8,2640,,92.5
2018-09-13 00:00:00,SLG , ITO , PEDOT:PSS ,,, Perovskite , PCBM-60 , BCP ,,, Ag,0.045,pin,FALSE,MA,Pb,I,3,,1.59,1,Spin-coating,DMF,1,Unknown,FALSE,Unknown,Unknown,13.8,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,30,3750,TRUE,76,2600,,99
2019-07-21 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,1,nip-mp,FALSE,Cs; FA; MA,Pb,Br; I,0.51; 2.49,,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,18.7,17.2,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,Unknown,,1680,FALSE,87,2586,,
2018-10-08 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip-mp,FALSE,FA; MA,Pb,Br; I,0.5; 2.5,BrPh-ThR,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,20.3,20.4,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,15,3500,FALSE,67,2500,,
2018-10-08 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.16,nip-mp,FALSE,FA; MA,Pb,Br; I,0.5; 2.5,bis-PCBM,,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,20.4,20.5,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,15,3500,FALSE,72,2500,,
2015-08-14 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , PTAA ,,,, AU,0.09,nip-mp,FALSE,MA,Pb,Br,3,,,1,Spin-coating,DMSO,1,Unknown,FALSE,Unknown,Unknown,10,,TRUE,ISOS-L-1,Light,FALSE,Open circuit,20.0; 20.0,Air,,2500,FALSE,80,2500,,
2019-10-21 00:00:00,SLG , ITO , SnO2-c , PCBM-60 ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.08,nip,FALSE,Cs; FA; MA,Pb,Br; I,0.45; 2.55,,1.62,1,Spin-coating,DMF; DMSO,4; 1,Chlorobenzene,FALSE,Unknown,Unknown,19.2,,TRUE,ISOS-L-1,Light,FALSE,Open circuit,50.0; 50.0,Air,60,2500,FALSE,80,2500,,
2015-08-14 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, AU,0.09,nip-mp,FALSE,MA,Pb,Br,3,,,1,Spin-coating,DMSO,1,Unknown,FALSE,Unknown,Unknown,7.5,,TRUE,ISOS-L-1,Light,FALSE,Open circuit,20.0; 20.0,Air,,2500,FALSE,80,2500,,
2019-02-26 00:00:00,SLG , FTO , TiO2-c , TiO2-mp ,, Perovskite , Spiro-MeOTAD ,,,, Au,0.1,nip-mp,FALSE,Cs,Pb,Br,3,,2.3,2,Spin-coating >> CBD,DMF >> Methanol,1 >> 1,Unknown,FALSE,Unknown,Unknown,5.36,,TRUE,ISOS-D-1I,Dark,FALSE,Open circuit,25.0; 25.0,Unknown,,2500,FALSE,80,2500,,
2019-02-04 00:00:00,SLG , ITO , SnO2-np ,,, Perovskite , Spiro-MeOTAD ,,,, Au,0.09,nip,FALSE,FA,Pb,I,3,"MACl, NMP",1.48,1,Spin-coating,DMF,1,Vacuum,FALSE,Unknown,Unknown,20.23,,TRUE,ISOS-D-1,Dark,FALSE,Open circuit,25.0; 25.0,Air,40,2880,FALSE,60,2400,,95
